操作系统的两个重要作用分别是什么？,通过资源管理提高效率，以及改善人机界面提供友好工作环境。
一般操作系统具有哪五种主要功能？,处理机管理、存储器管理、设备管理、文件管理和用户接口。
在多道程序环境下，处理机分配和运行的基本单位是什么？,进程。
设备管理中的“设备独立性”是指什么？,用户向系统申请的设备与实际操作的设备无关。
操作系统中面向开发人员的接口称为什么？,程序接口（如系统调用）。
分时操作系统的四个主要特点是什么？,多路性、独立性、交互性和及时性。
实时操作系统对响应时间的敏感程度与分时操作系统有何不同？,实时操作系统的设计依据是被测物体能接受的延迟，敏感程度更强。
网络操作系统按模式可分为哪三类？,集中模式、客户端/服务器模式（C/S）、对等模式（P2P）。
分布式操作系统与网络操作系统相比，最显著的高级特性是什么？,透明性、可靠性和高性能。
嵌入式操作系统的“微型化”特征体现在哪些方面？,占用资源少、系统代码量少（如内存少、运行速度有限、低能耗）。
为了提高嵌入式操作系统的易移植性，通常采用什么设计技术？,硬件抽象层（HAL）和板级支撑包（BSP）。
前趋图（Precedence Graph）在进程管理中属于什么类型的图？,有向无循环图（DAG）。
程序并发执行时失去“封闭性”意味着什么？,程序执行结果会受其他程序的执行速度或外部环境的影响。
进程存在的唯一标志是什么？,进程控制块（PCB）。
进程由哪三部分组成？,进程控制块（PCB）、程序和数据。
进程的三态模型包括哪三种基本状态？,运行、就绪和阻塞。
进程处于“就绪”状态的必备条件是什么？,已获得除处理机外的一切所需资源。
在五态模型中，“新建态”的主要作用是什么？,为新进程创建必要的管理信息，并等待系统完成创建进入就绪态。
整型信号量 $S \ge 0$ 时，其物理意义是什么？,表示某类资源的可用数量。
信号量 $S < 0$ 时，其绝对值 $|S|$ 代表什么？,表示阻塞队列中等待该资源的进程数。
P操作（Wait操作）的定义及资源申请逻辑是什么？,$S := S - 1$；若 $S < 0$，则该进程进入阻塞状态。
V操作（Signal操作）如何唤醒阻塞进程？,$S := S + 1$；若 $S \le 0$，则从阻塞队列中唤醒一个进程。
利用PV操作实现进程互斥时，互斥信号量（mutex）的初值通常设为多少？,1。
高级进程通信方式主要包括哪三种模式？,共享存储模式、消息传递模式和管道通信。
产生死锁的四个必要条件是什么？,互斥条件、不剥夺条件、请求与保持条件、环路条件。
死锁预防策略中，“资源有序分配法”破坏了哪个死锁条件？,环路条件。
银行家算法属于死锁处理策略中的哪一类？,死锁避免。
什么是系统处于“安全状态”的标志？,系统能按某种顺序（安全序列）为每个进程分配资源直到满足最大需求。
解除死锁通常采用哪两种方法？,资源剥夺法和撤销进程法。
引入线程的主要目的是什么？,减少程序并发执行时在创建、撤销和切换中付出的时空开销。
线程作为调度和分配的基本单位，通常拥有哪些资源？,仅拥有一点必不可少的资源，如程序计数器、一组寄存器和栈。
用户级线程与内核支持线程在实现上的主要区别是什么？,用户级线程的创建和切换不利用系统调用；内核支持线程依赖于内核系统调用。
分区存储管理中，“可重定位分区”的主要思想是什么？,移动已分配的分区使之连续，以减少内存碎片。
在分页存储管理中，逻辑地址由哪两部分组成？,页号 $P$ 和页内地址 $W$。
页表（Page Table）的主要作用是什么？,实现从逻辑页号到物理块号的地址映射。
分段存储管理与分页存储管理在逻辑意义上有何区别？,分段是信息的逻辑单位（如主程序、数据段），长度不等；分页是物理单位，长度固定。
段页式存储管理中，逻辑地址到物理地址转换需要查找哪些表？,先查段表得到页表起始地址，再查页表得到物理块号。
虚拟存储器的容量主要受什么因素限制？,计算机的地址结构（CPU可寻址范围）。
程序的“局限性原理”表现在哪两个方面？,时间局限性和空间局限性。
什么是虚拟存储管理中的“抖动”（颠簸）现象？,页面在内存与外存之间频繁更换，导致系统大部分时间用于置换而非执行。
最佳（Optimal）置换算法在实际系统中为何难以实现？,因为它需要预知未来最长时间内不再被访问的页面。
最近最少使用（LRU）算法的淘汰原则是什么？,选择最近一段时间以来最长时间未被访问的页面予以淘汰。
最近未用（NUR）算法通过设置哪位标志来实现？,为每个页面设置一位“访问位”。
I/O设备管理软件通常分为哪四个层次？,用户级软件、与设备无关的系统软件、设备驱动程序、中断处理程序。
SPOOLing技术（假脱机）的核心意义是什么？,利用物理设备模拟另一类物理设备，将独占设备变为虚拟共享设备。
SPOOLing系统由哪些核心程序和区域组成？,预输入程序、缓输出程序、井管理程序，以及输入井和输出井。
磁盘调度的目标是使什么时间最短？,平均寻道时间。
最短寻道时间优先（SSTF）磁盘调度算法的逻辑是什么？,选择与当前磁头所在磁道距离最近的磁道请求进行服务。
扫描算法（SCAN）又被称为什么算法？其特点是什么？,电梯调度算法；它不仅考虑距离，还考虑磁头的当前移动方向。
文件系统中，“按名存取”是通过什么实现的？,文件目录（或文件控制块FCB）。
UNIX文件系统采用的是几级索引结构？,三级索引结构。
在文件存储空间管理中，“位示图”法的原理是什么？,用二进制的一位对应一个物理块，取值0或1表示空闲或占用。
文件的“符号链接”共享方式有何优缺点？,优点是可以跨网络连接文件；缺点是增加了访问时的读盘次数。
文件安全性管理通常从哪四个级别进行？,系统级、用户级、目录级和文件级。
什么是作业（Job）？,系统为完成一个用户的计算任务（或一次事务处理）所做的工作总和。
作业由哪三部分组成？,程序、数据和作业说明书。
作业的四种状态是什么？,提交、后备（收容）、执行和完成。
响应比高优先算法中的响应比 $R_p$ 公式是什么？,$R_p = 1 + \frac{\text{等待时间}}{\text{执行时间}}$
衡量批量处理系统调度性能优劣的常用指标是什么？,平均周转时间或平均带权周转时间。
银河麒麟操作系统（Kylin OS）完全版包含哪三个版本？,实时版、安全版、服务器版。
深度操作系统（deepin）研发的桌面环境称为什么？,DDE（深度桌面环境）。
