什么是指令系统（或指令集）？,一台计算机中所有指令的集合。
指令系统是计算机系统中软件与哪个部分的分界面？,硬件。
在机器上直接运行的目标程序是由什么组成的？,若干条机器指令。
在设计指令系统时，用硬件实现的指令相比软件子程序的主要优势是什么？,速度快。
与硬件实现相比，用软件子程序实现指令功能的主要优点是什么？,灵活性好（或价格低）。
设计指令系统时的四个基本要求包括：完整性、规整性、兼容性和_____。,高效率。
指令系统的规整性主要包括哪两个方面？,对称性和均匀性。
指令系统的“对称性”是指对各种存储设备的使用和什么设置要对称？,操作码（$OP$码）。
指令系统的“均匀性”要求指令设置对不同的数据类型、字长和什么同等对待？,操作种类（或数据存储设备）。
若机器有 5 种数据表示、4 种字长、8 种存储设备排列，按均匀性原则，加法指令应有几种？,160 种（$5 \times 4 \times 8$）。
指令系统的“高效率”要求指令执行速度快且什么指标要高？,使用频率。
为了减少硬件复杂度，对于使用频率低但复杂的指令通常采用什么方式实现？,微程序。
指令系统的什么特性是计算机系统能够集成大量软件并维持市场生命力的关键？,兼容性。
通用计算机系统的基本指令主要包括：数据传送类、运算类、程序控制类、I/O 类和_____。,处理机控制和调试指令。
数据传送类指令主要用于实现寄存器与寄存器、寄存器与主存以及什么之间的数据传递？,两个主存单元。
决定数据传送类指令种类的三个主要因素是：存储设备种类、传送单位和_____。,寻址方式。
运算类指令通常分为算术运算指令、逻辑运算指令和_____。,移位指令。
移位指令通常包括算术移位、逻辑移位和_____。,循环移位。
为了保证性能，运算类指令在整个指令系统中所占的比重通常应超过多少？,30%。
程序控制类指令中，哪两类指令是通用计算机必须具备的？,转移指令、程序调用和返回指令。
程序控制类指令中，哪一类主要用于对循环程序进行优化？,循环控制指令。
I/O 指令通常采用哪种寻址方式？,单一的直接寻址方式。
在多用户或多任务环境下，I/O 指令属于哪种类型的指令？,特权指令。
特权指令必须在处理机的哪种状态下运行？,管态（或主态）。
处理机控制指令主要用于设置机态、管理硬件/软件资源以及管理什么？,进程。
CISC 指令系统的全称是什么？,复杂指令系统计算机（Complex Instruction Set Computer）。
CISC 指令系统通常拥有的指令数量大约是多少？,100 至 250 条左右。
在 CISC 中，占据程序出现频率 80% 的指令通常只占指令总数的百分之几？,20%。
CISC 支持的寻址方式通常有多少种？,5 至 20 种。
CISC 的指令长度是固定的还是变长的？,变长的。
CISC 的控制器通常采用哪种控制方式？,微程序控制。
优化目标程序的两个主要目的是缩短程序长度和_____。,缩短程序的执行时间。
面向高级语言改进指令系统的一个途径是设计不需要编译、直接执行高级语言的计算机，例如？,LISP 计算机（或 PROLOG 计算机）。
CISC 增加复杂指令以缩小语义差距，其代价是硬件复杂度增加和什么变长？,指令执行周期。
RISC 指令系统的全称是什么？,精简指令系统计算机（Reduced Instruction Set Computer）。
RISC 设计思想的核心是通过简化指令来减少指令的_____，从而提高速度。,执行周期数。
RISC 中仅有的两条对主存进行操作的指令是什么？,LOAD 和 STORE。
RISC 通常支持哪三种寻址方式？,寄存器寻址、立即数寻址和相对寻址方式。
RISC 倾向于采用哪种控制逻辑来构建控制器？,硬布线逻辑（组合逻辑）。
RISC 为了实现大部分指令在单周期内完成，通常采用了哪种技术？,流水线技术。
RISC CPU 中的通用寄存器数量通常是多少个以上？,32 个。
在 RISC 性能公式 $P = I \times CPI \times T$ 中，CPI 代表什么含义？,每条指令执行的平均周期数。
在 RISC 性能公式 $P = I \times CPI \times T$ 中，T 代表什么含义？,一个机器周期的时间长度。
统计结果表明，RISC 的指令条数 $I$ 大约比 CISC 长百分之多少？,20% 至 40%。
大多数 CISC 的平均周期数 $CPI$ 范围是多少？,4 至 10。
RISC 的处理速度通常比同规模的 CISC 提高几倍？,3 至 5 倍。
RISC 设计思想的精华在于减小了哪个性能指标？,CPI（平均周期数）。
RISC 中为解决转移指令导致流水线断流而采用的技术是什么？,延迟转移技术。
延迟转移技术的具体操作是在转移指令之后插入什么？,一条有效的指令。
在 RISC 中，如果指令序列调整困难，处理器可能会采用哪种技术来决定后续指令是否生效？,指令取消技术。
重叠寄存器窗口技术主要通过在寄存器堆中划分多个窗口来实现什么目的？,方便过程间参数传递（或减少访存）。
重叠寄存器窗口中，与前一过程共用的窗口主要用于存放什么内容？,前一过程传给本过程的参数（及返回结果）。
RISC 编译器分析数据流和控制流以调整指令序列的技术称为什么？,指令流调整技术。
在实际应用中，商品化的 RISC 机器通常在保持基本特色的基础上辅以什么？,必不可少的复杂指令（如浮点运算）。
RISC 结构中，除了指令 $I$ 和周期 $T$ 的优势外，软件方面的核心贡献来自于什么？,优化编译技术。
