多处理机结构在弗林（Flynn）分类法中属于哪种结构？,MIMD（多指令多数据流）
多处理机系统由若干个独立的处理机组成，每个处理机能_____执行自己的程序。,独立
多处理机系统的基本定义是什么？,具有两个或两个以上处理机，在OS统一控制下，通过共享主存或网络通信，协同求解问题的系统。
并行处理机（Parallel Processor）是基于哪种体系结构的？,SIMD（单指令多数据流）
并行处理机拥有多少个控制器和多少个处理单元？,一个控制器，多个处理单元
并行处理机又常被称为_____或阵列处理机。,矩阵处理机 (或向量处理机)
多处理机与并行处理机的根本差别在于两者的_____不同。,并行性的层次
并行处理机的结构灵活性较低，其互连通路主要是针对什么算法设计的？,数组（向量）处理算法
并行处理机实现的是什么级别的并行？,操作一级
多处理机实现的是什么级别的并行？,任务级
在多处理机中，一个任务开始执行时派生出其他并行执行任务的过程称为什么？,并行任务派生
并行处理机的各处理单元受同一控制器控制，它们的工作是_____的。,同步
多处理机的进程同步之所以复杂，是因为不同处理机执行不同指令且执行时间_____。,互不相等 (异步性)
并行处理机中，程序员可以通过什么手段设置部分处理单元为不活动状态？,屏蔽手段
多处理机访问内存的两种基本方式是什么？,共享存储方式和分布式存储方式
采用共享存储访问方式的多处理机系统又称为什么系统？,紧耦合系统 (或直接耦合系统)
共享存储多处理机中，处理机之间通过什么来传递共享信息和参数？,共享存储器 (SM)
什么是 SMP？,对称多处理机 (Symmetric Multi-Processor)，属于紧耦合系统。
紧耦合系统的处理机数目通常有限，且扩充比较_____。,困难
采用分布式存储访问方式的多处理机系统又称为什么系统？,松耦合系统 (或间接耦合系统)
分布式存储方式的多处理机中，每个处理机独占_____。,"本地存储器 (Local Memory, LM)"
分布式存储多处理机（松耦合系统）的结构特点是灵活、容易_____。,扩充
什么是 MPP？,海量并行处理结构 (Massively Parallel Processor)，通常指具有几百或几千台处理机的机器。
MPP系统最重要的特点是什么？,进行大规模并行处理
MPP主要采用哪种存储方式？,分布式存储方式
什么是 SVM？,虚拟共享存储器 (Shared Virtual Memory)，在分布式存储上实现逻辑共享的存储系统。
SVM 系统通过什么方式实现存储器共享？,将物理上分散的 LM 在逻辑上统一编址，形成统一虚拟地址空间。
实现 SVM 系统的三种主要途径是什么？,硬件实现、操作系统和库实现、编译实现
SMP 与 MPP 在存储系统上的最大差别是什么？,SMP 有统一共享的 SM，而 MPP 每个处理机拥有自己的 LM。
什么是 UMA 模型？,均匀存储器存取 (Uniform Memory Access) 模型，物理存储器被所有处理机均匀共享。
什么是 NUMA 模型？,非均匀存储器存取 (Nonuniform Memory Access) 模型，访问时间随存储字位置不同而变化。
在 NUMA 模型中，处理机访问哪种存储器速度较快？,本地存储器 (LM)
什么是 COMA 模型？,只用高速缓存的存储器结构 (Cache Only Memory Architecture)，是 NUMA 的特例。
COMA 模型中，远程高速缓存访问需要借助于什么？,分布高速缓存目录
什么是 S2MP 系统？,可扩展共享存储多处理机 (Scalable Shared Memory Multi-Processing)。
从本质上看，S2MP 系统属于哪种存储结构？,NUMA 结构
互连网络在并行处理系统中的作用是什么？,连接处理部件、存储模块及外设，使各功能部件在软件控制下相互通信。
互连函数 $I(x_{n-1} \dots x_k \dots x_1 x_0) = x_{n-1} \dots x_k \dots x_1 x_0$ 描述的是哪种置换？,恒等置换
交换置换实现的是二进制地址编号中第 _____ 位位值不同的连接。,0
方体置换 $C_k$ 实现的是二进制地址编号中第 _____ 位位值不同的连接。,k
均匀洗牌置换 (Shuffle) 的操作规律是什么？,将输入端二进制地址循环左移一位。
蝶式置换 (Butterfly) 的操作规律是什么？,将输入端二进制地址的最高位和最低位互换位置。
位序颠倒置换 (Bit-reversal) 的操作规律是什么？,将输入端二进制地址的位序完全颠倒过来。
若 16 个处理机采用单级互连网络的方体置换 $C_3$，11 号（1011）处理机应连接到几号处理机？,3 号 (0011)
若 16 个处理机采用 Shuffle 互连函数，11 号（1011）处理机连接到几号处理机？,7 号 (0111)
在衡量互连网络性能时，“连接度”对应图论中的什么概念？,度 (Degree)，指一个结点与其他结点的连接程度。
互连网络中的“延时性”通常可以用什么来表示？,结点间最大距离
总线方式互连最主要的缺点是什么？,总线争用最严重
交叉开关互连方式的最大优点和最大缺点分别是什么？,优点：争用降到最低；缺点：连接复杂度最高。
开关枢纽互连方式由哪两个单元组成？,仲裁单元（完成冲突处理）和开关单元（完成连接）
多端口存储器互连方式是将交叉点仲裁逻辑移动到哪里？,存储器
多级互连网络是哪两种互连方式的折中？,总线方式和交叉开关
多级互连网络的主要优点是采用_____结构，扩展性好。,模块
