输入输出（I/O）系统由哪三大部分组成？,I/O设备、I/O接口（I/O控制器）和I/O控制管理软件。
什么是I/O系统的“输入操作”？,将计算机外部信息输入到计算机内部以便加工处理的操作。
计算机中I/O系统的5种主要工作方式包括程序控制方式、程序中断方式、DMA工作方式、通道方式和_____。,I/O处理机
在程序控制方式中，根据外设性质的不同，可分为哪两种传送方式？,无条件传送和程序查询方式。
为什么无条件传送方式只适用于简单开关量的I/O控制？,因为它要求时序配合精确，一般外设难以满足始终处于准备就绪状态的要求。
在程序查询方式下，如果外设尚未准备就绪，CPU会处于什么状态？,循环等待状态。
程序查询方式的主要缺点是什么？,I/O能力不高，严重影响CPU的利用率。
程序中断是指CPU在执行现行程序过程中，转去处理随机发生的更紧迫事件，处理完后返回_____的过程。,恢复现场并继续执行原程序
整个中断过程大体可以分为哪5个阶段？,中断请求、中断判优、中断响应、中断处理和中断返回。
列举三种系统中处理多个中断源的常用方法。,多中断信号线法、中断软件查询法、雏菊链法（或总线仲裁法、中断向量表法）。
相比程序控制方式，中断方式效率更高的根本原因是什么？,CPU无须等待也不必去查询I/O的状态。
DMA工作方式的全称是什么？,直接存储器存取（Direct Memory Access）。
在进行DMA传送时，谁负责控制系统总线并提供存储器地址？,DMA控制器（DMAC）。
DMAC获取总线的三种主要方式分别是：CPU停止访问主存法、存储器分时法和_____。,周期挪用法（周期窃取方式）
DMA工作方式中，数据块传送时的计数和地址确定是由什么实现的？,硬件电路直接实现。
DMA在数据传送结束后，通常通过什么方式进行后处理？,中断方式。
通道方式通过_____手段实现在一定硬件基础上的I/O控制，使主机与外设并行程度更高。,软件
根据传送方式，通道可分为字节多路通道、选择通道和_____。,数组多路通道
哪种通道方式结合了字节多路通道和选择通道的特点，既能多路并行又能高速传输？,数组多路通道。
I/O处理机除了完成通道功能外，还可以进行哪些高级任务？,码制转换、数据校验、文件管理、处理人机对话等。
总线的“分时”特性是指什么？,同一时刻只允许有一个部件向总线发送信息。
按总线在CPU内部的位置划分，连接寄存器与ALU的总线称为什么？,内部总线。
按总线功能分类，通常分为哪三类？,地址总线、数据总线和控制总线。
并行总线与串行总线相比，主要的优点是什么？,数据传输速率高。
串行总线通常适用于什么通信场景？,远距离通信。
总线标准主要规定了总线的机械结构规范、功能结构规范和_____。,电气规范
总线宽度指的是什么？,总线的线数（决定了物理空间和成本）。
计算同步通信中总线带宽的公式是什么？,总线带宽 = 总线宽度 $\times$ 总线频率
若总线周期占用2个时钟周期，时钟频率为 $10MHz$，并行传输 $4B$ 信息，则带宽是多少？,$20MB/s$ ($4B / 0.2\mu s$)
总线分时复用技术的主要目的是什么？,减少总线数量，提高总线利用率。
什么是总线猝发传输？,在一个总线周期中传输存储地址连续的多个数据的方式。
I/O接口（I/O控制器）存在的目的是什么？,解决主机和外设在信息形式和工作速度方面的差异。
I/O接口的哪项功能可以避免在数据传送过程中丢失数据？,数据缓冲功能。
I/O接口通过什么部件向外设发出启动命令？,命令寄存器。
在异步通信中，为了使接收端正确接收字符，必须在字符前后加上什么？,开始位和停止位。
同步通信要求收发双方具有什么样的时钟信号？,同频同相的同步时钟信号。
普通IDE接口的数据传输速率上限是多少？,$1.5Mb/s$
EIDE接口的数据传输宽度为多少位？,$32$ 位
SATA接口与ATA接口相比，其物理传输方式有何本质区别？,SATA是基于行业标准的串行硬件驱动器接口。
SCSI设备在物理上通常以什么形式接入？,菊花链形式。
IEEE-1394接口在市场上通常又被称为什么？,i.Link 或 FireWire。
USB 3.0接口的最高传输速度可达多少？,$4.8Gb/s$
I/O端口通常由哪三类寄存器组成？,数据端口、命令端口和状态端口。
在I/O端口的统一编址方式中，如何实现I/O操作？,使用一般的数据传送类指令，将端口视为存储单元访问。
在I/O端口的独立编址方式中，如何识别端口地址？,指令系统设置专门的I/O指令，其地址字段指示端口地址。
在总线性能评价中，热插拔功能指的是什么？,在不关闭系统电源的情况下增加或更换总线设备的能力。
eSATA接口的主要用途是什么？,用来连接外部SATA设备，提供高达 $3.2Gb/s$ 的传输速率。
PCMCIA接口目前主要更名为哪种名称？,PC Card 接口。
中断响应时，CPU保存正在执行程序的现场是为了_____。,在中断处理结束后能自动返回原程序继续执行
