传统的存储器系统通常分为哪三级结构？,高速缓冲存储器（Cache）、主存储器、辅助存储器。
存储器中数据的常用存取方式除了随机存取和相联存取外，还有哪两种？,顺序存取和直接存取。
存储器系统的四个主要性能指标包括存取时间、存储器带宽、存储器周期和 _____。,数据传输率。
哪种主存储器在断电后信息会消失，因此只能用于暂存数据？,随机存取存储器（RAM）。
DRAM 为了维持信息不丢失，需要进行什么操作？,定时刷新。
与 DRAM 相比，SRAM 在电路不断电的情况下具有什么特点？,信息能够一直保持而不会丢失。
计算机系统程序 BIOS 通常存放在哪种类型的存储器中？,只读存储器（ROM）。
辅助存储器（辅存）的主要特点是什么？,容量大、可靠性高、价格低且具有持久性。
磁带存储器属于哪种存取方式的设备？,顺序存取。
硬盘存储器属于哪种存取方式的设备？,直接存取。
机械硬盘（HDD）的信息分布从高到低分为哪四个层次？,记录面、圆柱面、磁道和扇区。
硬盘的存取地址通常由驱动器号、柱面号、扇区号和 _____ 组成。,磁头（读写头）号。
硬盘的格式化存储容量计算公式是什么？,存储容量 $= n \times t \times s \times b$。
硬盘格式化容量公式中的参数 $n$ 代表什么？,保存数据的总记录面数。
硬盘格式化容量一般约为非格式化容量的多少？,$60\% \sim 70\%$。
硬盘存取时间中，磁头从原位置移动到目的磁道所需的时间称为什么？,寻道时间（或查找时间）。
在计算磁盘平均存取时间 $T_a$ 时，通常忽略哪部分时间？,信息的读写操作时间。
硬盘中设置缓存的主要目的是什么？,解决硬盘内部与接口之间速度不匹配的问题。
与机械硬盘相比，固态硬盘（SSD）在寻道时间上有何优势？,寻道时间可以忽略不计。
混合硬盘（SSHD）中闪存的主要作用是什么？,起缓冲作用，存储常用文件以减小寻道时间。
RAID 技术的主要目的是缩小 CPU 速度与 _____ 速度之间的差距。,磁盘存储器。
RAID 0 级别的核心特点是什么？,无冗余和无校验的数据分块，具有最高 I/O 性能。
RAID 1 级别又被称为什么阵列？,磁盘镜像阵列。
哪种 RAID 级别采用了海明码纠错技术？,RAID 2。
RAID 3 和 RAID 4 级别是如何存放奇偶校验码的？,存放在一个独立的校验盘上。
RAID 5 与 RAID 4 的主要区别在于校验信息的存放方式，RAID 5 是如何存放的？,校验信息分布式地分布在组内所有磁盘上。
哪种 RAID 级别设置了一个专用的、可快速访问的异步校验盘，且价格昂贵？,RAID 6。
RAID 10 级别是由哪两个基础 RAID 等级组合而成的？,RAID 0 和 RAID 1。
光盘存储器中，WORM 标准是指什么？,一次写入，多次读出（Write One Read Many）。
哪种光盘类型属于可重复擦写、重写的可逆性记录系统？,CD-RW。
Cache 的主要功能是提高 CPU 数据输入输出速率，突破什么瓶颈？,冯·诺依曼瓶颈。
使用 Cache 改善系统性能的理论依据是什么？,程序的局部性原理。
空间局部性是指如果一个存储单元被访问，则其 _____ 的单元也可能很快被访问。,邻近。
若 $h$ 为 Cache 命中率，$t_1$ 为 Cache 周期，$t_2$ 为主存周期，则系统平均周期 $t_3$ 的公式为？,$t_3 = t_1 \times h + t_2 \times (1 - h)$。
在 Cache 地址映射中，主存和 Cache 被均分成的相同容量单位称为什么？,块（或页）。
直接映射的映射关系公式是什么？,$K = I \pmod C$（$K$ 为 Cache 块号，$I$ 为主存页号，$C$ 为 Cache 块数）。
哪种 Cache 映射方式允许主存的每一页映射到 Cache 的任一块，且最为灵活？,全相联映射。
全相联映射的主要缺点是什么？,查找速度慢或比较器电路设计成本太高。
组相联映射是如何决定 Cache 中的块号的？,通过直接映射决定组号，通过全相联映射决定组内的块号。
当 Cache 已存满数据时，常用的替换算法包括随机算法、先进先出算法和 _____。,近期最少使用算法（LRU）。
Cache 写操作中，写直达（Write Through）方式的特点是什么？,数据在写入 Cache 的同时写回内存。
Cache 写操作中，写回（Write Back）方式在什么时机才把数据写回内存？,当该块从 Cache 中被淘汰（替换）时。
在标记法写策略中，当 CPU 对数据进行修改时，有效位被置为什么值？,0。
直接附加存储（DAS）主要通过哪种电缆将存储设备连接到服务器？,SCSI 电缆。
DAS 存储方式在容量增加时面临的主要瓶颈是什么？,难以扩展（升级困难）。
网络附加存储（NAS）是基于什么为中心的存储架构？,数据。
NAS 技术主要通过哪些文件系统协议进行文件访问？,NFS（网络文件系统）和 CIFS（通用 Internet 文件系统）。
存储区域网络（SAN）采用的是哪种级别的存储方式？,块（block）级别。
FC SAN 架构中最昂贵且复杂的组件主要源于使用了哪种接口技术？,"光纤通道（Fiber Channel, FC）。"
IP SAN 中的 iSCSI 技术是如何传输 SCSI 指令的？,通过使用 TCP/IP 协议对 SCSI 指令进行封装。
iSCSI 技术相比 FC SAN 的一个主要优势是什么？,安装成本和维护费用低（支持通用以太网交换机）。
"无限带宽（InfiniBand, IB）技术的核心设计思路是什么？",通过中心机构（IB 交换机）建立单一连接链路指挥流量。
IB SAN 采用的 Switched Fabric 互连结构具有什么特性？,可伸缩性。
虚拟存储技术将物理存储实体与存储的什么表示实现分离？,逻辑表示。
在虚拟存储中，对称式和非对称式的分类依据是什么？,拓扑结构的不同。
非对称式虚拟存储中，控制设备与数据传输路径的关系是？,控制设备独立于数据传输路径之外。
数据块虚拟主要解决数据传输过程中的冲突和 _____ 问题。,延时。
虚拟文件系统主要解决大规模网络中文件共享的什么问题？,安全机制问题。
主机级虚拟化通常是通过什么方式实现的？,纯软件方式（安装在应用服务器上的卷管理软件）。
网络级虚拟化通常由加入 SAN 的什么装置来实现？,专用装置。
虚拟存储如何提高存储系统的整体访问带宽？,通过负载平衡将访问带宽合理分配到各个存储模块上。
虚拟存储技术在增加新设备时，对客户端有何影响？,客户端无需任何操作。
