什么是计算机网络体系结构？,计算机网络的各层及其协议的集合。
网络协议中“语法”要素的作用是什么？,规定控制信息或数据的结构和格式。
网络协议中“语义”要素的含义是什么？,规定需要发出何种控制信息、完成何种动作及做出何种应答。
网络协议中“同步”要素的功能是什么？,提供事件实现顺序的详细说明。
在分层设计中，同一机器上的相邻功能层之间通过什么进行信息传递？,接口。
OSI 开放系统互连参考模型共分为多少层？,7 层。
OSI 模型中，物理层的主要功能是什么？,实现实体之间的按位传输，向数据链路层提供透明的位流传输。
数据链路层交换的数据单位称为什么？,帧。
数据链路层通过哪种技术保证数据通信的正确性？,差错控制技术。
网络层也常被称为什么层？,通信子网层。
网络层的主要任务是什么？,提供路由，为信息包的传送选择最佳路径。
网络层交换的数据单元是什么？,包。
哪一层被认为是整个分层体系协议的核心，衔接着高低层？,传输层。
传输层向上层提供的服务通常具有哪些特点？,无差错、有序的报文收发，提供传输连接并进行流量控制。
会话层的基本任务是什么？,负责两主机间原始报文的传输，建立、管理及终止应用系统间的会话。
表示层主要关注信息的哪些方面？,发出信息的语法与语义。
提供数据加密、解密以及压缩、解压缩服务的是 OSI 哪一层？,表示层。
应用层在 OSI 模型中的地位是什么？,它是 OSI 的最高层，是通信用户之间的窗口。
TCP/IP 协议簇由下至上分为哪四个层级？,网络接口层、网际层、传输层、应用层。
TCP/IP 协议中，简单网络管理协议 (SNMP) 属于哪一层？,应用层。
传输控制协议 (TCP) 与用户数据报协议 (UDP) 的主要区别是什么？,TCP 是面向连接的可靠传输，而 UDP 是无连接的不可靠传输。
TCP/IP 网际层将传输层的信息构造为什么格式？,IP 数据报。
TCP/IP 采用的分组交换技术在出错时如何处理？,不需要全部重新传送，只需将出错的包重新传输。
一个标准的 IP 数据报首部中，固定部分占据多少字节？,$20$ 个字节。
IP 首部中的 IHL (IP 头长度) 字段以什么为计数单位？,$32$ 位字 (即 $4$ 字节)。
IP 数据报中的 TTL (生存期) 字段通常用什么来表示？,经过的路由器个数。
ICMP 协议的主要用途是什么？,在网际层传送有关通信问题的消息 (如目标不可达、路由重定向)。
TCP 段头中的“发送顺序号”字段有多少位？,$32$ 位。
TCP 标志位中的 SYN 用于什么目的？,同步顺序号，用于连接的建立。
TCP 标志位中的 ACK 表示什么含义？,确认号有效，表示已成功接收数据。
TCP 标志位中的 FIN 用于什么操作？,释放连接，表示数据发送完毕。
TCP 如何实现流动控制功能？,通过窗口 (Window) 字段分配信息量并结合滑动窗口协议实现。
TCP 建立连接需要经过几次握手？,三次握手。
什么是 TCP 的“伪段头” (Pseudo-header)？,它是 IP 头的一部分，用于 TCP 校验和计算以防止误传。 
UDP 头中包含哪些基本字段？,源端口、目标端口、段长、校验和。
ARP 协议的核心作用是什么？,将 IP 地址转换为物理地址 (MAC 地址)。
RARP 协议的核心作用是什么？,将物理地址转换为 IP 地址。
IPv4 地址的总长度是多少位？,$32$ 位。
A 类 IP 地址的第一个字节范围是多少？,最高位为 $0$，十进制范围通常为 $1 \sim 126$。
B 类 IP 地址的前两位二进制码是什么？,$10$。
C 类 IP 地址的网络号占多少位？,$24$ 位。
D 类 IP 地址的主要用途是什么？,组播地址 (Multicast)。
子网掩码的作用是什么？,标识 IP 地址中的网络/子网部分 (设为 $1$) 和主机部分 (设为 $0$)。
如何判断两台计算机是否在同一个子网内？,将两台机的 IP 地址分别与子网掩码进行逻辑“与”运算，若结果相等则在同一子网。
CIDR (无分类域间路由) 的主要记法是什么？,在 IP 地址后加上斜线“/”并注明网络前缀的位数。
路由汇聚 (Route Aggregation) 的主要优点是什么？,缩小路由表的尺寸，减少路由查找延迟和开销。
IPv6 地址的长度是多少位？,$128$ 位。
IPv6 相比 IPv4 在管理上有哪些改进？,加入了对自动配置的支持 (改进了 DHCP)。
解决 IPv6 节点之间通过 IPv4 网络通信的过渡技术称为什么？,隧道技术。
双协议栈技术在 IPv4 向 IPv6 过渡中的作用是什么？,使同一设备和网络中可以共存 IPv4 和 IPv6。
