计算机网络是什么技术的结合产物？,计算机网络是计算机技术与通信技术相结合的产物。
分布式系统在计算机网络的基础上为用户提供了什么样的应用环境？,分布式系统为用户提供了透明的集成应用环境。
计算机网络按功能可分为哪两个逻辑层次？,内层通信子网和外层资源子网。
通信子网的主要组成部分有哪些？,结点计算机和高速通信线路。
资源子网的主要职责是什么？,负责全网的数据处理，并向网络用户提供网络资源及网络服务。
在数据通信基础中，产生和发送信息的一端称为什么？,信源。
信源和信宿之间的通信线路称为什么？,信道。
信息在传输过程中受到的外界干扰通常称为什么？,噪声。
哪种物理信道基本不受外界电磁场的干扰？,光纤信道。
某种参量（如幅度、相位、频率）随时间连续变化的信号称为什么？,模拟信号。
只取有限个离散值，且转换几乎是瞬时的信号称为什么？,数字信号。
模拟信道的带宽 $W$ 如何计算？,$W = f_2 - f_1$（其中 $f_2$ 为最高频率，$f_1$ 为最低频率）。
数字信道中的一个数字脉冲称为什么？,码元。
码元速率的单位是什么？,波特（Baud）。
若信号码元宽度为 $T$ 秒，则码元速率 $B$ 的计算公式是什么？,$B = 1/T$。
奈奎斯特定理指出，在带宽为 $W$ 的无噪声信道中，最大码元速率是多少？,$B = 2W$ (Baud)。
一个码元携带的信息量 $n$（位）与码元的种类数 $N$ 之间有什么关系？,$n = \log_2 N$。
在无噪声的理想情况下，计算最大数据速率 $R$ 的公式是什么？,$R = B \log_2 N = 2W \log_2 N$。
香农定理用于计算哪种信道的极限数据速率？,有噪声信道。
香农定理的数学表达式是什么？,$C = W \log_2(1 + S/N)$。
分贝（dB）与信噪比（$S/N$）的关系式是什么？,$dB = 10 \log_{10} (S/N)$。
如果信噪比 $S/N = 1000$，则对应的分贝值是多少？,$30dB$。
数字信道的带宽通常被定义为什么？,信道能够达到的最大数据速率。
误码率 $P_e$ 的计算公式是什么？,$P_e = N_e / N$（其中 $N_e$ 为出错位数，$N$ 为传送总位数）。
计算机通信网络中，一般的误码率要求低于多少？,$10^{-6}$。
电信号在电缆中的传播速度大约是多少？,约 $200m/\mu s$（光速的 $77\%$ 左右）。
什么是数字数据？,在计算机中以离散的二进制比特流方式表示的数据。
将数字信号转换成模拟信号的过程称为什么？,调制。
幅度随基带数字信号变化的调制方式称为什么？,调幅（AM）或幅移键控（ASK）。
频移键控（FSK）的特点是什么？,信号容易实现，技术简单，抗干扰能力较强。
初始相位随基带数字信号变化的调制方式称为什么？,调相（PM）或相移键控（PSK）。
不归零编码（NRZ）的主要缺点是什么？,无法判断每一位的开始与结束，收发双方不能保持同步。
曼彻斯特编码如何表示二进制“1”？,电平从高到低的跳变。
曼彻斯特编码中，每比特中间的跳变起到了什么作用？,既作为时钟信号，又作为数据信号。
差分曼彻斯特编码中，如何区分二进制“0”？,每比特的开始边界有跳变表示二进制 0。
曼彻斯特编码的编码效率较低，传送 $10Mb/s$ 的数据需要多高的脉冲频率？,$20MHz$。
多电平编码相比双相码的主要优点是什么？,数据速率大于波特率，可提高频带利用率。
4B/5B 编码的基本原理是什么？,用 $5bit$ 的二进制码来代表 $4bit$ 的二进制码。
通信线路中由于电子热运动产生的、时刻存在的噪声称为什么？,热噪声。
由外界电磁干扰（如打雷、电压波动）引起的突发性差错称为什么？,冲击噪声。
热噪声引起的差错通常具有什么特点？,随机性，影响个别位。
奇偶校验码的原理是在 $7$ 位代码后增加一位，使得码字中“1”的个数满足什么条件？,成奇数（奇校验）或偶数（偶校验）。
为了检测突发性的位串出错，可以使用哪种简单的校验方法？,校验和（Checksum）。
什么是海明距离（Hamming Distance）？,一个码字要变成另一个码字时必须改变的最小位数。
若任意两个码字之间的海明距离是 $d$，则可以检查出多少位的错误？,$d-1$ 位。
若任意两个码字之间的海明距离是 $d$，则可以纠正多少位的错误？,小于 $d/2$ 位的错误。
对于 $m$ 位数据增加 $k$ 位冗余位组成海明码，纠正单个错误需满足的公式是什么？,$m+k+1 \le 2^k$。
海明码中的校验位通常分配在哪些位置？,"$1, 2, 4, 8$ 等 $2$ 的幂的位置上。"
循环冗余校验码（CRC）属于哪一类编码？,循环码。
在 CRC 编码中，数据多项式 $D(x)$ 除以什么多项式可以得到校验和？,生成多项式 $G(x)$。
CRC-32 校验码常用于哪种网络环境？,局域网。
